[22:28:10]	lechu2375 has connected.
[22:28:26]	lechu2375 loaded the character 'lechu2375'
[22:28:52]	lechu2375 used command '/crashsite 1'.
[22:29:31]	lechu2375 used command '/crashsite 1'.
[22:33:51]	lechu2375 used command '/crashsite 1'.
[22:33:59]	lechu2375 opened the 'Wrak' #70 container.
[22:34:01]	lechu2375 closed the 'Wrak' #70 container.
[22:39:15]	lechu2375 used command '/crashsite 1'.
[22:40:01]	lechu2375 used command '/crashsite 1'.
[22:42:17]	lechu2375 used command '/crashsite 1'.
[22:42:24]	lechu2375 opened the 'Wrak' #70 container.
[22:42:26]	lechu2375 closed the 'Wrak' #70 container.
[22:44:12]	lechu2375 used command '/crashsite 1'.
[22:47:04]	lechu2375 used command '/crashsite 1'.
[22:47:19]	lechu2375 opened the 'Wrak' #70 container.
[22:47:21]	lechu2375 closed the 'Wrak' #70 container.
[22:49:31]	lechu2375 used command '/crashsite 1'.
[22:49:46]	lechu2375 used command '/crashsite 1'.
[22:49:58]	lechu2375 entered observer.
[22:50:01]	lechu2375 exited observer.
[22:50:01]	lechu2375 has taken 104 damage from worldspawn.
[22:50:01]	worldspawn has killed lechu2375.
[22:50:26]	lechu2375 used command '/crashsite 1'.
[22:54:48]	lechu2375 used command '/crashsite 1'.
[22:55:34]	lechu2375 used command '/crashsite 1'.
[22:55:43]	lechu2375 entered observer.
[22:55:54]	lechu2375 used command '/crashsite 1'.
[22:56:04]	lechu2375 opened the 'Wrak' #70 container.
[22:56:06]	lechu2375 closed the 'Wrak' #70 container.
[22:56:24]	lechu2375 used command '/crashsite 1'.
[22:56:52]	lechu2375 used command '/crashsite 1'.
[22:57:00]	lechu2375 opened the 'Wrak' #70 container.
[22:57:05]	lechu2375 has gained a 'Kar98K' #24730.
[22:57:05]	lechu2375 closed the 'Wrak' #70 container.
[22:57:08]	lechu2375 ran 'Equip' on item 'Kar98K' (#24730)
[22:57:22]	lechu2375 used command '/crashsite 1'.
[22:57:52]	lechu2375 used command '/crashsite 1'.
[22:58:19]	lechu2375 used command '/crashsite 1'.
[22:59:45]	lechu2375 used command '/crashsite 1'.
[22:59:59]	lechu2375 used command '/crashsite 1'.
[23:00:37]	lechu2375 used command '/crashsite 1'.
[23:00:48]	lechu2375 opened the 'Wrak' #71 container.
[23:00:50]	lechu2375 closed the 'Wrak' #71 container.
[23:00:57]	lechu2375 used command '/crashsite 1'.
[23:01:05]	lechu2375 opened the 'Wrak' #71 container.
[23:01:06]	lechu2375 closed the 'Wrak' #71 container.
[23:01:07]	lechu2375 opened the 'Wrak' #71 container.
[23:01:10]	lechu2375 has gained a 'Ghillie suit' #24765.
[23:01:12]	lechu2375 has gained a 'AKS-74U' #24750.
[23:01:15]	lechu2375 has gained a 'Amunicja 9x19' #24744.
[23:01:18]	lechu2375 has gained a 'Amunicja 9x19' #24767.
[23:01:18]	lechu2375 ran 'combine' on item 'Amunicja 9x19' (#24744)
[23:01:23]	lechu2375 has gained a 'Amunicja 9x18' #24766.
[23:01:24]	lechu2375 closed the 'Wrak' #71 container.
