[12:58:04]	⭐ lechu2375 ⭐ has connected.
[13:00:18]	⭐ lechu2375 ⭐ loaded the character 'CT-2894 Lechu'
[13:05:41]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:05:42]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:05:44]	CT-2894 Lechu has taken 12 damage from nb_mercenary.
[13:05:44]	CT-2894 Lechu has taken 7 damage from nb_mercenary.
[13:05:44]	CT-2894 Lechu has taken 7 damage from nb_mercenary.
[13:05:45]	CT-2894 Lechu has taken 15 damage from nb_mercenary.
[13:05:45]	CT-2894 Lechu has taken 10 damage from nb_mercenary.
[13:05:48]	CT-2894 Lechu has taken 7 damage from nb_mercenary.
[13:05:48]	CT-2894 Lechu entered observer.
[13:05:52]	CT-2894 Lechu exited observer at their location.
[13:07:45]	CT-2894 Lechu has taken 10 damage from nb_mercenary.
[13:07:45]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:07:45]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:07:46]	CT-2894 Lechu has taken 10 damage from nb_mercenary.
[13:07:46]	CT-2894 Lechu has taken 10 damage from nb_mercenary.
[13:07:47]	CT-2894 Lechu has taken 10 damage from nb_mercenary.
[13:07:50]	CT-2894 Lechu has taken 12 damage from nb_mercenary.
[13:07:52]	CT-2894 Lechu has taken 7 damage from nb_mercenary.
[13:07:53]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:07:53]	CT-2894 Lechu has taken 12 damage from nb_mercenary.
[13:07:53]	CT-2894 Lechu has taken 10 damage from nb_mercenary.
[13:07:53]	CT-2894 Lechu has taken 12 damage from nb_mercenary.
[13:07:54]	CT-2894 Lechu has taken 10 damage from nb_mercenary.
[13:14:32]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:35]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:35]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:35]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:35]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:36]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:14:36]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:14:36]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:14:36]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:14:37]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:14:37]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:14:37]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:37]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:14:37]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:14:37]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:37]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:37]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:14:37]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:37]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:14:38]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:14:38]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:38]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:38]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:39]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:39]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:40]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:40]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:40]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:14:40]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:40]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:14:40]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:40]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:14:40]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:14:41]	CT-2894 Lechu has taken 15 damage from nb_mercenary.
[13:14:41]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:41]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:14:41]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:41]	CT-2894 Lechu has taken 15 damage from nb_mercenary.
[13:14:41]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:41]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:41]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:41]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:14:42]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:42]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:14:42]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:42]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:42]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:42]	CT-2894 Lechu has taken 15 damage from nb_mercenary.
[13:14:42]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:42]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:14:43]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:43]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:43]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:43]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:43]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:44]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:44]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:44]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:44]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:45]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:45]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:45]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:45]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:45]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:46]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:46]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:46]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:46]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:46]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:14:46]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:47]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:47]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:48]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:48]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:48]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:49]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:49]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:49]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:50]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:50]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:50]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:50]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:50]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:51]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:51]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:51]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:51]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:14:52]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:14:52]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:14:52]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:14:53]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:14:53]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:14:53]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:22:59]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:22:59]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:22:59]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:22:59]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:22:59]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:22:59]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:22:59]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:22:59]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:23:00]	CT-2894 Lechu has taken 15 damage from nb_mercenary.
[13:23:00]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:23:00]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:23:00]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:23:00]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:23:01]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:23:01]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:23:01]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:23:01]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:23:01]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:23:01]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:23:01]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:23:02]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:53]	CT-2894 Lechu entered observer.
[13:24:54]	CT-2894 Lechu exited observer at their location.
[13:24:55]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:24:57]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
